组号,组主题,成语,释义,考频
44,稀少/珍贵,不可多得,得：得到，获得。形容非常稀少，很难得到。,9
44,稀少/珍贵,难能可贵,难做的事居然能做到，值得珍视。,9
44,稀少/珍贵,弥足珍贵,更加值得珍爱，重视。,4
44,稀少/珍贵,绝无仅有,极其少有。,3
45,好坏都有/混杂,良莠不齐,指好人坏人都有（莠：狗尾草，比喻品质坏的人）。,16
45,好坏都有/混杂,鱼龙混杂,比喻坏人和好人混在一起。,15
45,好坏都有/混杂,包罗万象,内容丰富，应有尽有。,15
45,好坏都有/混杂,五花八门,形容花样繁多或变幻多端。,14
45,好坏都有/混杂,泥沙俱下,泥土和沙子都跟着流下来，比喻好坏不同的人或事物混杂在一起。,12
45,好坏都有/混杂,林林总总,形容繁多。,9
45,好坏都有/混杂,滥竽充数,比喻没有真正的才干，而混在行家里面充数，或拿不好的东西混在好的里面充数。,8
45,好坏都有/混杂,粗制滥造,指制作粗劣，不讲究质量。也指工作不负责任，草率从事。,7
45,好坏都有/混杂,形形色色,各种各样。,7
45,好坏都有/混杂,参差不齐,形容很不整齐或水平不一。,5
46,丰富/多种多样,千姿百态,形容姿态多种多样，各不相同。,13
46,丰富/多种多样,扑朔迷离,比喻事物错综复杂，难于辨别。,13
46,丰富/多种多样,错综复杂,形容头绪繁多，情况复杂。,11
46,丰富/多种多样,丰富多彩,内容丰富，种类多样。,9
46,丰富/多种多样,千奇百怪,形容事物奇异而多样。,9
46,丰富/多种多样,应有尽有,应该有的全都有了，表示一切齐备。,5
46,丰富/多种多样,蔚为大观,丰富多彩，成为盛大的景象（多指文物等）。,5
46,丰富/多种多样,一应俱全,应该具备的都有了。,4
46,丰富/多种多样,气象万千,形容景色和事物多种多样，非常壮观。,3
47,复杂,举步维艰,迈步艰难，比喻办事情每向前进行一步都十分不容易。,12
47,复杂,进退维谷,进退都不好，形容处境困难。,12
47,复杂,纷繁复杂,纷繁：多而复杂。复杂：（事物的种类、头绪等）多而杂（跟“简单”相对）。,8
47,复杂,千头万绪,形容事情头绪繁多，纷乱复杂。,7
47,复杂,杂乱无章,又多又乱，没有条理。,5
47,复杂,寸步难行,①形容走路、行动困难。②比喻开展某项工作困难重重。,5
47,复杂,步履维艰,①行走十分困难，行动不方便。②比喻创业经营艰辛。,4
47,复杂,盘根错节,树根盘绕，枝节交错。形容事情或关系等相互交织，纷繁复杂。,3
48,困难/艰难,披荆斩棘,比喻扫除前进中的困难和障碍。,10
48,困难/艰难,迎刃而解,用刀劈竹子，劈开了口儿，下面的一段就迎着刀口自己裂开。比喻主要的问题解决了，其他有关的问题就可以很容易地得到解决。,9
48,困难/艰难,迎难而上,就算遇到困难也不退缩，迎着困难去克服它。,8
48,困难/艰难,知难而退,指见困难退缩不前，没有勇气去克服。,4
48,困难/艰难,雪中送炭,比喻在别人急需的时候给以帮助。,4
48,困难/艰难,骑虎难下,比喻事情中途遇到困难，为形势所迫，又难以中止。,2
49,提供帮助/扫清障碍,迫在眉睫,比喻事情临近眼前，十分紧迫。,18
49,提供帮助/扫清障碍,刻不容缓,片刻也不能拖延，形容形势紧迫。,12
49,提供帮助/扫清障碍,当务之急,当前急切应办的事。,9
49,提供帮助/扫清障碍,锦上添花,比喻使美好的事物更加美好。,8
49,提供帮助/扫清障碍,添砖加瓦,比喻为宏伟的事业做一点小小的贡献。,6
49,提供帮助/扫清障碍,保驾护航,保护某事物能让其能正常发展。,6
50,紧急/危险/紧迫,难以为继,难以继续下去。,14
50,紧急/危险/紧迫,危在旦夕,指危险就在眼前。,8
50,紧急/危险/紧迫,岌岌可危,形容十分危险，快要倾覆或灭亡。,6
50,紧急/危险/紧迫,后继无人,没有继承的人。形容事业缺少接班人。,6
50,紧急/危险/紧迫,奄奄一息,形容气息微弱临近死亡。也比喻事物即将消亡、湮没或毁灭。,4
50,紧急/危险/紧迫,千钧一发,千钧的重量系在一根头发上，形容事态极其危险。,3
51,情况变糟,束手无策,比喻一点儿办法也没有。,14
51,情况变糟,推波助澜,比喻促使或助长事物（多指坏的事物）的发展，使扩大影响。,8
51,情况变糟,江河日下,江河的水天天向下游流，比喻情况一天天坏下去。,7
51,情况变糟,变本加厉,变得比原来更加严重。,5
51,情况变糟,落井下石,比喻乘人危急的时候加以陷害。,4
51,情况变糟,日薄西山,太阳快要落山了，比喻衰老的人或腐朽的事物临近死亡。,3
51,情况变糟,雪上加霜,比喻接连遭受灾难，使受害程度加深。,2
52,不知道怎么办,无所适从,不知道依从谁好；不知按哪个办法做才好。,12
52,不知道怎么办,掩耳盗铃,把耳朵捂住去偷铃铛，比喻自己欺骗自己，明明掩盖不了的事偏要设法掩盖。,11
52,不知道怎么办,一筹莫展,一点儿计策也施展不出；一点儿办法也想不出。,6
52,不知道怎么办,手足无措,形容举动慌乱或没有办法应付。,6
52,不知道怎么办,自欺欺人,用自己都难以置信的话或手法来欺骗别人；既欺骗自己也欺骗别人。,6
52,不知道怎么办,不知所措,不知道怎么办才好，形容受窘或发急。,4
52,不知道怎么办,掩人耳目,遮着别人的耳朵和眼睛，比喻以假象蒙骗别人。,3
52,不知道怎么办,文过饰非,掩饰过失、错误。,3
53,掩饰/隐瞒/欺骗,讳莫如深,指把事情瞒得很紧，不肯走漏一点消息。,6
53,掩饰/隐瞒/欺骗,沽名钓誉,比喻有意做作或用某种欺骗的手段来谋取名誉。,6
53,掩饰/隐瞒/欺骗,故弄玄虚,故意玩弄使人迷惑的花招。,5
53,掩饰/隐瞒/欺骗,冠冕堂皇,形容表面上庄严或正大的样子。,4
53,掩饰/隐瞒/欺骗,弄虚作假,耍花招，欺骗人。,3
53,掩饰/隐瞒/欺骗,装腔作势,故意做作，装出某种情态。,3
53,掩饰/隐瞒/欺骗,欲盖弥彰,想要掩盖事实的真相（指坏事），结果反而更加显露出来。,1
54,公开/不加掩饰,道听途说,从道路上听到，在道路上传说，指传闻的、没有根据的话。,8
54,公开/不加掩饰,堂而皇之,①形容公开或不加掩饰。②形容体面或气派大。,4
54,公开/不加掩饰,明目张胆,形容公开地、无所顾忌地做坏事。,2
55,没有根据的,家喻户晓,每家每户都知道。,14
55,没有根据的,众所周知,大家全都知道。,10
55,没有根据的,妇孺皆知,妇女和小孩都知道，指某件事物众所周知，流传得很广。,7
55,没有根据的,空穴来风,现多用来比喻消息和传说毫无根据。,6
55,没有根据的,捕风捉影,比喻说话或做事时用似是而非的迹象做根据。,4
55,没有根据的,无稽之谈,无可查考的、不确实的话。,4
56,影响范围广/有名气/熟悉,循序渐进,（学习、工作）按照一定的步骤逐渐深入或提高。,15
56,影响范围广/有名气/熟悉,如数家珍,像数自己家里的珍宝一样，形容对列举的事物或叙述的故事十分熟悉。,12
56,影响范围广/有名气/熟悉,闻名遐迩,形容名声很大，主要指远近闻名。,11
56,影响范围广/有名气/熟悉,声名鹊起,形容名声迅速提高。,10
56,影响范围广/有名气/熟悉,登堂入室,比喻学问或技能由浅入深，循序渐进，达到更高的水平。也说升堂入室。,8
56,影响范围广/有名气/熟悉,耳熟能详,听的次数多了，熟悉得能详尽地说出来。,7
56,影响范围广/有名气/熟悉,如雷贯耳,形容人的名声很大。,6
56,影响范围广/有名气/熟悉,烂熟于心,形容对某件事情或者事物的发展情况在心里记得很清楚。,4
57,逐渐的/有步骤/有条理,按部就班,按照一定的条理，遵循一定的程序。,16
57,逐渐的/有步骤/有条理,精雕细刻,精心细致地雕刻。比喻做事认真细致。,15
57,逐渐的/有步骤/有条理,精益求精,（学术、技术、作品、产品等）好了还求更好。,15
57,逐渐的/有步骤/有条理,有条不紊,有条理，有次序，一点儿不乱。,10
57,逐渐的/有步骤/有条理,条分缕析,形容分析得细密而有条理。,9
57,逐渐的/有步骤/有条理,抽丝剥茧,"形容分析事物极为细致,而且一步一步很有层次。",8
57,逐渐的/有步骤/有条理,一板一眼,比喻言语行为有条理，合规矩，不马虎。,4
57,逐渐的/有步骤/有条理,井然有序,指整整齐齐，次序分明，条理清楚。,4
58,精细/追求更好,望洋兴叹,本义指在伟大的事物面前感叹自己的藐小，今多指要做一件事而力量不够，感到无可奈何。,13
59,与“望”相关,望尘莫及,只望见走在前面的人带起的尘土而追赶不上，形容远远落后。,12
59,与“望”相关,望而生畏,看见了就害怕。,9
59,与“望”相关,望其项背,能够望见别人的颈的后部和背脊，比喻赶得上或比得上（多用于否定式）。,5
60,长远/深谋远虑,大行其道,指在某范围内广为流传，盛行一时。也可指大肆推行自己的主张。,12
60,长远/深谋远虑,高屋建瓴,形容居高临下的形势。,11
60,长远/深谋远虑,高瞻远瞩,形容眼光远大。,9
60,长远/深谋远虑,深谋远虑,周密地计划，往长远里考虑。,5
61,流行/盛行,势在必行,指某事根据事物的发展趋势必须做。,12
61,流行/盛行,大势所趋,大势、事情发展的趋势（多指政治局势）。,11
61,流行/盛行,蔚然成风,形容一种事物逐渐发展、盛行，形成风气。,10
61,流行/盛行,风靡一时,形容某事物在一个时期里非常盛行。,8
61,流行/盛行,甚嚣尘上,形容对传闻之事议论纷纷。现多指某种言论十分嚣张（含贬义）。,4
62,趋势/形势,独善其身,做不上官，就搞好自身的修养。现在指只顾自己，缺乏集体精神。,15
62,趋势/形势,势不可挡,来势迅猛，不可抵挡。,10
62,趋势/形势,特立独行,指有操守、有见识，不随波逐流。,10
62,趋势/形势,势如破竹,形势像劈竹子一样，劈开上端之后，底下的都随着刀刃分开了，比喻节节胜利，毫无阻碍。,6
62,趋势/形势,所向披靡,比喻力量所到之处，一切障碍全被扫除。,4
63,独立/不参与,责无旁贷,自己的责任，不能推卸给别人（贷：推卸）。,14
63,独立/不参与,置身事外,把自己放在事情之外，毫不关心。,10
63,独立/不参与,明哲保身,指因怕犯错误或有损自己利益而对原则性问题不置可否的处世态度。,9
63,独立/不参与,袖手旁观,比喻置身事外或不协助别人。,9
63,独立/不参与,不置可否,不说对，也不说不对。,8
63,独立/不参与,作壁上观,人家交战，自己站在营垒上观看，比喻坐观成败，不给予帮助。,4
64,责任/担当,博大精深,（思想、学说等）广博高深。,14
64,责任/担当,任重道远,担子很重，路程又长，比喻责任重大。,10
64,责任/担当,当仁不让,指遇到应该做的事情，主动承当，不推辞、不退避。,8
64,责任/担当,鞭辟入里,形容能透彻说明问题，深中要害。,8
64,责任/担当,义不容辞,道义上不允许推辞。,7
64,责任/担当,入木三分,形容书法有力，也用来比喻议论、见解深刻。,3
65,知识/见解/言论,深入浅出,指文章或言论的内容很深刻，措辞却浅显易懂。,11
65,知识/见解/言论,一针见血,比喻话说得简短而能切中要害。,9
65,知识/见解/言论,言简意赅,言语简明而意思完备。,8
65,知识/见解/言论,去粗取精,去掉粗糙的部分，取其精华。,7
65,知识/见解/言论,去伪存真,除掉虚假的，留下真实的。,7
65,知识/见解/言论,删繁就简,删去多余的文字或内容使简明扼要。,4
65,知识/见解/言论,微言大义,精微的语言和深奥的道理。,3
66,筛选/选择,纸上谈兵,在文字上谈用兵策略，比喻不联系实际情况，空发议论。,19
66,筛选/选择,空中楼阁,比喻虚幻的事物或脱离实际的理论、计划等。,11
66,筛选/选择,夸夸其谈,说话或写文章浮夸，不切实际。,10
66,筛选/选择,披沙拣金,比喻从大量的事物中选择精华。,6
66,筛选/选择,坐而论道,原指坐着议论政事，后泛指空谈大道理。,6
66,筛选/选择,海市蜃楼,比喻虚幻的事物。,5
66,筛选/选择,独具慧眼,指能看到他人无法察觉的事物，形容眼光敏锐、见解超群且具备精细判断能力。,4
66,筛选/选择,慧眼识珠,聪慧的双眼能识别珍珠，比喻有特别的眼力能识别人或物，多用于称赞善于发现人才。,3
67,空想/空谈/不切实际,天马行空,比喻才思纵横、气势豪放、不受拘束；亦比喻言论空泛、不切实际 。,12
67,空想/空谈/不切实际,好高骛远,不切实际地追求过高的目标。也作好高务远。,11
67,空想/空谈/不切实际,画地为牢,在地上画一个圈儿当做监狱，比喻只许在指定的范围之内活动。,11
67,空想/空谈/不切实际,不可思议,不可想象，不能理解。,7
67,空想/空谈/不切实际,匪夷所思,指事物怪异或人的言行离奇，不是一般人按照常理所能想象的。,6
67,空想/空谈/不切实际,异想天开,形容想法离奇，不切实际。,5
67,空想/空谈/不切实际,画饼充饥,比喻借空想安慰自己。,3
67,空想/空谈/不切实际,望梅止渴,比喻用空想或假象安慰自己。,3
68,限制/局限,名副其实,名称或名声与实际相符合。,10
68,限制/局限,作茧自缚,蚕吐丝作茧，把自己包在里面，比喻做了某事，结果反而使自己受困。,7
68,限制/局限,实至名归,有了真正的学识、本领或业绩，相应的声誉自然就随之而来。,5
68,限制/局限,坐井观天,比喻眼光狭小，看到的有限。,2
69,外表/内在；名字/实际,鳞次栉比,像鱼鳞和梳子的齿一样，一个挨着一个地排列着，多用来形容房屋等密集。,11
69,外表/内在；名字/实际,当之无愧,完全当得起，没有惭愧和不足的地方。指接受某种荣誉或称号等是完全够条件的。,9
69,外表/内在；名字/实际,名不副实,名称或名声与实际不相符；有名无实。也说名不符实。,5
69,外表/内在；名字/实际,徒有其表,空有好看的外表，实际上不行。指有名无实。,5
69,外表/内在；名字/实际,华而不实,只开花不结果，比喻外表好看，内容空虚。,4
70,密集/排列,美轮美奂,形容新屋高大美观，也形容装饰、布置等美好漂亮。,10
70,密集/排列,星罗棋布,像星星似的罗列着，像棋子似的分布着，形容多而密集。,9
70,密集/排列,出神入化,形容技艺达到了绝妙的境界。,9
70,密集/排列,错落有致,形容事物布置安排得参差交错，富有情趣。,8
70,密集/排列,登峰造极,登上顶峰，到达最高处，比喻水平达到最高点（造：到）。,6
71,技艺高超,等量齐观,不管事物间的差异，同等看待。,13
71,技艺高超,相提并论,把不同的或相差悬殊的人或事物混在一起来谈论或看待（多用于否定式）。,12
71,技艺高超,鬼斧神工,形容建筑、雕塑等技艺的精巧。,10
71,技艺高超,巧夺天工,精巧的人工胜过天然，形容技艺极其精巧。,9
71,技艺高超,炉火纯青,相传道家炼丹，到炉子里的火发出纯青色的火焰的时候，就算成功了。比喻学问、技术或办事达到了纯熟完美的地步。,4
72,同等看待,置若罔闻,放在一边儿不管，好像没听见一样，形容不重视，不关心。,12
72,同等看待,同日而语,放在同一时间谈论，指相提并论（多用于否定式）。,10
72,同等看待,一视同仁,同样看待，不分亲疏厚薄。,7
72,同等看待,充耳不闻,塞住耳朵不听，形容不愿听取别人的意见。,6
72,同等看待,混为一谈,把不同的事物混在一起，说成是同样的事物。,5
73,不重视、不关心,莫衷一是,不能得出一致的结论。,20
73,不重视、不关心,视而不见,尽管睁着眼睛看，却什么也没有看见，指不重视或不注意。,12
73,不重视、不关心,熟视无睹,虽然经常看见，还跟没看见一样，指对客观事物不关心。,11
73,不重视、不关心,束之高阁,把东西捆起来，放在高高的架子上面，比喻扔在一边，不去用它或管它。,11
73,不重视、不关心,嗤之以鼻,用鼻子吭气，表示看不起。,10
73,不重视、不关心,不屑一顾,不值得一看。形容极端轻视。,8
74,意见/观点,众说纷纭,各式各样的说法纷乱不一致。,11
74,意见/观点,见仁见智,指对于同一个问题各人有各人的见解。,9
75,比不过,相形见绌,跟另一人或事物比较起来显得远远不如（绌：不足）。,11
75,比不过,集思广益,集中众人的智慧，广泛吸收有益的意见。,11
75,比不过,广开言路,尽量给下属和群众创造发表意见的条件。,4
75,比不过,黯然失色,本指心情不好，脸色难看。后多比喻相比之下有很大差距，远远不如。,3
76,汲取/集中智慧,博采众长,广泛地采纳各家的长处。,11
76,汲取/集中智慧,自以为是,认为自己的看法和做法都正确，不接受别人的意见。,10
76,汲取/集中智慧,取长补短,吸取长处来弥补短处。,9
76,汲取/集中智慧,刚愎自用,倔强固执，自以为是（愎：乖僻，执拗）。,7
76,汲取/集中智慧,群策群力,大家共同出主意，出力量。,6
76,汲取/集中智慧,扬长避短,发扬长处，避开短处。,6
77,自负/自卑,按图索骥,按照图像寻找好马，比喻按照死规矩机械、呆板地做事，也泛指按照线索寻找目标。,14
77,自负/自卑,妄自菲薄,过分地看轻自己。,7
77,自负/自卑,自暴自弃,自己甘心落后，不求上进（暴：糟蹋）。,5
77,自负/自卑,妄自尊大,狂妄地自高自大。,4
77,自负/自卑,唯我独尊,认为只有自己最了不起，形容人极端狂妄自大。也作惟我独尊。,4
78,死板/不灵活,削足适履,比喻不合理地迁就现成条件，或不顾具体条件，生搬硬套。,13
78,死板/不灵活,如履薄冰,比喻随时都会发生危险，做事极为小心谨慎。,13
78,死板/不灵活,刻舟求剑,比喻拘泥成例，不知道跟着情势的变化而改变看法或办法。,12
78,死板/不灵活,瞻前顾后,形容顾虑过多，犹豫不决。,12
78,死板/不灵活,照本宣科,死板地照现成文章或稿子宣读，指不能灵活运用。,7
78,死板/不灵活,生搬硬套,不顾实际情况机械地搬用别人的方法、经验等。,5
78,死板/不灵活,裹足不前,缠上裹脚的布准备远行，却又停步不进，多指有所顾虑（裹足：古人远行时为防止把脚磨破常用布裹脚）。,5
78,死板/不灵活,犹豫不决,拿不定主意，下不了决心。,4
79,谨慎小心/犹豫不决,兢兢业业,小心谨慎，认真负责。,11
79,谨慎小心/犹豫不决,举棋不定,比喻做事犹豫不决。,6
79,谨慎小心/犹豫不决,优柔寡断,办事迟疑，没有决断。,4
79,谨慎小心/犹豫不决,小心翼翼,原形容严肃虔敬的样子，现用来形容举动十分谨慎，丝毫不敢疏忽。,3
79,谨慎小心/犹豫不决,谨小慎微,对琐细的事情过分小心谨慎，以致流于畏缩。,3
80,认真负责,脚踏实地,形容做事踏实认真。,10
80,认真负责,一丝不苟,连最细微的地方也不马虎，形容办事认真。,9
80,认真负责,管中窥豹,通过竹管的小孔来看豹，只看到豹身上的一块斑纹。比喻只见到事物的一小部分。,9
80,认真负责,以偏概全,用局部来概括全部；以片面来总括全面,7
80,认真负责,一叶障目,比喻为局部的或暂时的现象所迷惑，不能认清事物的全貌或问题的本质。,7
81,局部/全部,方兴未艾,事物正在兴起、发展，一时不会终止。,21
81,局部/全部,断章取义,不顾全篇文章或谈话的内容，而只根据自己的需要孤立地取其中一段或一句的意思。,9
81,局部/全部,一叶知秋,看见一片落叶就知道秋天的来临，比喻发现一点预兆就料到事物发展的趋向。,3
81,局部/全部,冰山一角,比喻事物已经显露出来的一小部分。,3
81,局部/全部,盲人摸象,比喻对事物了解不全面，以偏概全，乱加揣测。,1
82,兴起/兴盛,如火如荼,原比喻军容之盛，现用来形容旺盛、热烈或激烈。,17
82,兴起/兴盛,风起云涌,①大风起来，乌云涌现。②形容事物迅速发展，声势浩大。,15
82,兴起/兴盛,异军突起,指新的派别或新的力量突然兴起。,13
82,兴起/兴盛,如日中天,比喻事物正发展到十分兴盛的阶段。,9
83,短暂/易逝,转瞬即逝,形容转眼之间就很快消失。,7
83,短暂/易逝,专心致志,一心一意；集中精神。,7
83,短暂/易逝,稍纵即逝,稍微一放松就溜过去了，形容时间、机会等极易失去。,6
83,短暂/易逝,一朝一夕,一个早晨或一个晚上，指非常短的时间。,4
83,短暂/易逝,白驹过隙,白马在细小的缝隙前一闪而过，形容时间过得飞快。,4
84,专注/注意力集中,烟消云散,形容事物消失净尽。也说云消雾散。,10
84,专注/注意力集中,心无旁骛,专心一意而无其他念头。,9
84,专注/注意力集中,全神贯注,全副精神高度集中。,8
84,专注/注意力集中,聚精会神,集中精神；集中注意力。,7
84,专注/注意力集中,销声匿迹,不再公开讲话，不再出头露面。形容隐藏起来或不公开出现。,6
84,专注/注意力集中,目不转睛,不转眼珠地（看），形容注意力集中。,5
85,消失/不见,同舟共济,比喻同心协力，共同度过困难。,8
85,消失/不见,无影无踪,形容完全消失，不知去向。,5
85,消失/不见,和衷共济,比喻同心协力，共同克服困难。,5
85,消失/不见,灰飞烟灭,比喻人亡或事物消失，不复存在。,2
85,消失/不见,化为乌有,事物完全消失或希望彻底落空。,2
85,消失/不见,杳无音信,形容毫无消息、失去联系的状态,2
86,共克难关,并行不悖,同时实行，互不冲突。,12
86,共克难关,风雨同舟,比喻共同度过困难。,6
86,共克难关,众志成城,大家同心协力，就像城墙一样的牢固，比喻大家团结一致，就能克服困难，得到成功。,6
86,共克难关,守望相助,为了防御外来的侵害，邻近的村落协同看守瞭望，遇警互相帮助。,4
87,并行,融会贯通,参合多方面的知识或道理而得到全面的透彻的领悟。,13
87,并行,举一反三,从一件事情类推而知道许多事情。也说一隅三反。,11
87,并行,并驾齐驱,比喻齐头并进，不分前后。也比喻地位或程度相等，不分高下。,10
87,并行,双管齐下,比喻两方面同时进行。,9
87,并行,一举两得,做一件事情，得到两种收获。,6
88,类推/贯通,沧海桑田,大海变成农田，农田变成大海，形容世事变化很大。,10
88,类推/贯通,今非昔比,指现在不是过去能比得上的，多指形势、自然面貌等发生了巨大的变化。,8
88,类推/贯通,触类旁通,掌握了关于某一事物的知识，而推知同类中其他事物。,4
88,类推/贯通,以点带面,指通过重点突破带动全局发展，用一个单位或地方的成功经验来带动许多单位或成片地方的工作。,2
89,变化大,变幻莫测,变化多端，难以揣测。,13
89,变化大,大起大落,大幅度的起与落，形容变化大。,6
89,变化大,白云苍狗,比喻世事变幻无常。,3
89,变化大,斗转星移,北斗转向，众星移位。表示时序变迁，岁月流逝。,3
89,变化大,翻天覆地,①形容变化巨大而彻底。②形容闹得很凶。,3
90,变化多,千变万化,形容变化极多。,9
90,变化多,瞬息万变,在极短的时间内就有很多变化。形容变化很多很快。,8
90,变化多,各行其是,各自按照自己以为对的去做。,8
90,变化多,波诡云谲,形容事态或文笔变幻莫测。,5
91,各干各的,各自为政,按照各自的主张做事，不互相配合；不顾全局，各搞自己的一套。,8
91,各干各的,各自为战,各自成为独立的单位进行战斗，比喻各干各的、互不通气或缺乏协同 。,2
91,各干各的,各司其职,各自管好、做好自己的本职工作（司：执掌，主管）。,2
92,换位思考,心旷神怡,心情舒畅，精神愉快。,10
92,换位思考,心驰神往,心神飞到（向往的地方）。,10
92,换位思考,感同身受,指虽未亲身经历，但感受就同亲身经历过一样。,7
92,换位思考,身临其境,指亲身面临那种境地。,7
93,心情舒畅,脱胎换骨,比喻彻底改变立场观点。,10
93,心情舒畅,赏心悦目,指因欣赏美好的情景而心情舒畅。,8
93,心情舒畅,沁人心脾,指呼吸到新鲜空气或喝了清凉饮料使人感到舒适。现也用来形容欣赏了美好的诗文、乐曲等给人以清新、爽朗的感觉。,3
94,改变,改头换面,比喻只改形式，不变内容（贬义）。,7
94,改变,点石成金,比喻把不好的或平凡的事物改变成很好的事物。也说点铁成金。,6
95,距离近,兼收并蓄,把内容不同、性质相反的东西都吸收进来。也说兼容并蓄。,17
95,距离近,近在咫尺,形容距离很近。,7
95,距离近,触手可及,指近在手边，一伸手就可以接触到。形容距离极近。,7
95,距离近,海纳百川,比喻包容的东西非常广泛，而且数量很大（也指心胸宽广）。,5
96,包容/自由/谦虚,人迹罕至,很少有人到的地方。指荒凉偏僻的地方。,7
96,包容/自由/谦虚,百家争鸣,学术上的繁荣景象和论争风气。,5
96,包容/自由/谦虚,百花齐放,比喻不同形式和风格的各种艺术作品自由发展。,5
96,包容/自由/谦虚,虚怀若谷,胸怀像山谷那样深而且宽广，形容十分谦虚。,4
96,包容/自由/谦虚,闻过则喜,听到别人指出自己的缺点、错误就感到高兴。形容虚心，对自己要求严格。,4
97,人少,无人问津,比喻没有人来探问、尝试或购买。,7
97,人少,门可罗雀,大门前面可以张网捕雀，形容宾客稀少，十分冷落。,3
97,人少,门庭冷落,形容场所、事业或领域由热闹转为萧条，无人问津的衰微状态 。,2
98,体现得充分,淋漓尽致,形容文章或谈话详尽透彻，也指暴露得很彻底。,7
98,体现得充分,优胜劣汰,在竞争中强者胜出，弱者被淘汰。,7
98,体现得充分,酣畅淋漓,形容非常畅快。多指文艺作品中刻画人物形象或抒发感情很充分。,5
99,竞争,不期而至,事先没有约定而意外到来，没有预料地到来。,7
99,竞争,弱肉强食,指动物中弱者被强者吃掉，借指弱者被强者欺凌、吞并。,5
99,竞争,不期而遇,没有约定而意外地相遇。,5
99,竞争,物竞天择,生物在进化过程中，相互竞争，通过自然选择，能够适应的生存下来。后也指人类社会优胜劣汰的规律。,2
100,意料之外/突然,出乎意料,超出人们的料想之外。,5
100,意料之外/突然,猝不及防,事情突然发生，来不及防备。,5
100,意料之外/突然,出人意料,（事物的好坏、情况的变化、数量的大小等）出于人们的意料，在人们的意料之外。也说出人意表。,4
100,意料之外/突然,出其不意,趁对方没有料到（就采取行动）。,4
